"","Labels","mean(Mean)","subject_nb"
"109","LAYING",-0.528872883615386,19
"110","SITTING",-0.334107012569131,19
"111","STANDING",-0.484121127148336,19
"112","WALKING",-0.636380555512302,19
"113","WALKING_DOWNSTAIRS",-0.594096124381051,19
"114","WALKING_UPSTAIRS",-0.444185762080012,19
"115","LAYING",-0.57647387239883,20
"116","SITTING",-0.631437072580438,20
"117","STANDING",-0.44633779966622,20
"118","WALKING",-0.413273512900935,20
"119","WALKING_DOWNSTAIRS",-0.36704641857975,20
"120","WALKING_UPSTAIRS",-0.481026958388994,20
"121","LAYING",-0.4712907158306,21
"122","SITTING",-0.384890540478932,21
"123","STANDING",-0.513350337310327,21
"124","WALKING",-0.620974206332609,21
"125","WALKING_DOWNSTAIRS",-0.565223140179832,21
"126","WALKING_UPSTAIRS",-0.483034126978541,21
"127","LAYING",-0.601334502473146,22
"128","SITTING",-0.602495541242245,22
"129","STANDING",-0.496237161343845,22
"130","WALKING",-0.450989330117769,22
"131","WALKING_DOWNSTAIRS",-0.378998989668771,22
"132","WALKING_UPSTAIRS",-0.427349020152083,22
"133","LAYING",-0.641025889720441,23
"134","SITTING",-0.64434872178872,23
"135","STANDING",-0.637993513839426,23
"136","WALKING",-0.303635090755274,23
"137","WALKING_DOWNSTAIRS",-0.149792068649325,23
"138","WALKING_UPSTAIRS",-0.422715862861027,23
"139","LAYING",-0.447991973316611,24
"140","SITTING",-0.481708304947948,24
"141","STANDING",-0.607342561639052,24
"142","WALKING",-0.414916159172007,24
"143","WALKING_DOWNSTAIRS",-0.5366887271898,24
"144","WALKING_UPSTAIRS",-0.624379071420649,24
"145","LAYING",-0.638892470766651,25
"146","SITTING",-0.641162735769533,25
"147","STANDING",-0.642708754229912,25
"148","WALKING",-0.397472963441206,25
"149","WALKING_DOWNSTAIRS",-0.327483043585337,25
"150","WALKING_UPSTAIRS",-0.398855207805792,25
"151","LAYING",-0.637540460912783,26
"152","SITTING",-0.631043679747123,26
"153","STANDING",-0.515472108756404,26
"154","WALKING",-0.644430327451582,26
"155","WALKING_DOWNSTAIRS",-0.523062782312025,26
"156","WALKING_UPSTAIRS",-0.435460586411194,26
"157","LAYING",-0.485568370818214,27
"158","SITTING",-0.37537945894666,27
"159","STANDING",-0.446685927528945,27
"160","WALKING",-0.631465903666799,27
"161","WALKING_DOWNSTAIRS",-0.645237935538098,27
"162","WALKING_UPSTAIRS",-0.648417147651445,27
"163","LAYING",-0.442182253568576,28
"164","SITTING",-0.591855306196649,28
"165","STANDING",-0.637501603595277,28
"166","WALKING",-0.354419802017304,28
"167","WALKING_DOWNSTAIRS",-0.472241957963291,28
"168","WALKING_UPSTAIRS",-0.602309399682182,28
"169","LAYING",-0.639621476975571,29
"170","SITTING",-0.637651590812627,29
"171","STANDING",-0.5692244687552,29
"172","WALKING",-0.537826647480941,29
"173","WALKING_DOWNSTAIRS",-0.313297619252031,29
"174","WALKING_UPSTAIRS",-0.268275945178105,29
"175","LAYING",-0.64645985031996,30
"176","SITTING",-0.574356528467518,30
"177","STANDING",-0.432310672238605,30
"178","WALKING",-0.641951226756269,30
"179","WALKING_DOWNSTAIRS",-0.503249184204413,30
"180","WALKING_UPSTAIRS",-0.496925798284972,30
