"Labels" "Mean" "Sd_mean" "subject_nb"
"51" "STANDING" -0.370450989584112 0.48213898182929 9
"52" "WALKING" -0.621025721876773 0.528234414218671 9
"53" "WALKING_DOWNSTAIRS" -0.462147171053293 0.494122577862719 9
"54" "WALKING_UPSTAIRS" -0.440799471799214 0.490848946438301 9
"55" "LAYING" -0.457957213090644 0.485190851007756 10
"56" "SITTING" -0.503391990656787 0.497583817090579 10
"57" "STANDING" -0.617427067666363 0.525566389747192 10
"58" "WALKING" -0.472335680071665 0.488564208715701 10
"59" "WALKING_DOWNSTAIRS" -0.548124857543456 0.525261461120156 10
"60" "WALKING_UPSTAIRS" -0.593398418111389 0.531353061871745 10
"61" "LAYING" -0.552751763022138 0.510853387569887 11
"62" "SITTING" -0.623614469650108 0.534586541260343 11
"63" "STANDING" -0.521911343683529 0.50369866819889 11
"64" "WALKING" -0.38542296961317 0.480982318521328 11
"65" "WALKING_DOWNSTAIRS" -0.384161769072026 0.471176091196489 11
"66" "WALKING_UPSTAIRS" -0.379415789286058 0.468557034084892 11
"67" "LAYING" -0.399909229122153 0.470612977803271 12
"68" "SITTING" -0.383247861204479 0.472875575587381 12
"69" "STANDING" -0.496702357599658 0.501833834121445 12
"70" "WALKING" -0.474093982997446 0.484979942160925 12
"71" "WALKING_DOWNSTAIRS" -0.525155660395309 0.496552877139532 12
"72" "WALKING_UPSTAIRS" -0.608686119899545 0.522184352663069 12
"73" "LAYING" -0.39448786512875 0.477607409235706 13
"74" "SITTING" -0.640442958246589 0.531517094158572 13
"75" "STANDING" -0.630674978723623 0.539556179565273 13
"76" "WALKING" -0.247814071171139 0.459710382826603 13
"77" "WALKING_DOWNSTAIRS" -0.247880761320525 0.467587371632409 13
"78" "WALKING_UPSTAIRS" -0.528828667995037 0.524836773907144 13
"79" "LAYING" -0.331952802379414 0.463233550716422 14
"80" "SITTING" -0.552075325373237 0.514325981429492 14
"81" "STANDING" -0.628809026681033 0.536277758659404 14
"82" "WALKING" -0.329805443603389 0.457187308649672 14
"83" "WALKING_DOWNSTAIRS" -0.493705520385449 0.508608111789011 14
"84" "WALKING_UPSTAIRS" -0.549629290247165 0.520185409095221 14
"85" "LAYING" -0.416097574766677 0.476153779267879 15
"86" "SITTING" -0.5243218185822 0.50411528643241 15
"87" "STANDING" -0.64181425109513 0.535181905203218 15
"88" "WALKING" -0.392885126547769 0.475822935002919 15
"89" "WALKING_DOWNSTAIRS" -0.527957780542948 0.506723792375194 15
"90" "WALKING_UPSTAIRS" -0.589421768086971 0.523223718982419 15
"91" "LAYING" -0.48172910022879 0.497907059219627 16
"92" "SITTING" -0.635817577620857 0.526449522169177 16
"93" "STANDING" -0.636780674022819 0.534627024236667 16
"94" "WALKING" -0.266267445623972 0.467636430874784 16
"95" "WALKING_DOWNSTAIRS" -0.368973445835066 0.4803380711707 16
"96" "WALKING_UPSTAIRS" -0.545322327716222 0.515651137198232 16
"97" "LAYING" -0.420887097924118 0.492673856723722 17
"98" "SITTING" -0.609063349161464 0.535779000730527 17
"99" "STANDING" -0.625584508092094 0.538167884812834 17
"100" "WALKING" -0.33661972456642 0.47946363675172 17
"101" "WALKING_DOWNSTAIRS" -0.488521553451962 0.502592576782195 17
"102" "WALKING_UPSTAIRS" -0.633431225867984 0.532774037441756 17
"103" "LAYING" -0.463243367022833 0.488004297630985 18
"104" "SITTING" -0.570781831499508 0.513302751781018 18
"105" "STANDING" -0.644025173432822 0.531846425048036 18
"106" "WALKING" -0.483244499454397 0.491423602754875 18
"107" "WALKING_DOWNSTAIRS" -0.585246332471723 0.518639981317155 18
"108" "WALKING_UPSTAIRS" -0.645960904086069 0.535849875505255 18
"109" "LAYING" -0.528872883615386 0.525230746090029 19
"110" "SITTING" -0.334107012569131 0.465138057563095 19
"111" "STANDING" -0.484121127148336 0.496698381125261 19
"112" "WALKING" -0.636380555512302 0.545101683100759 19
"113" "WALKING_DOWNSTAIRS" -0.594096124381051 0.529013142446733 19
"114" "WALKING_UPSTAIRS" -0.444185762080012 0.494415025848333 19
"115" "LAYING" -0.57647387239883 0.515381479667746 20
"116" "SITTING" -0.631437072580438 0.528140309998463 20
"117" "STANDING" -0.44633779966622 0.492253919537679 20
"118" "WALKING" -0.413273512900935 0.486944322735079 20
"119" "WALKING_DOWNSTAIRS" -0.36704641857975 0.467184622199891 20
"120" "WALKING_UPSTAIRS" -0.481026958388994 0.495280519263619 20
"121" "LAYING" -0.4712907158306 0.494634371804941 21
"122" "SITTING" -0.384890540478932 0.471030944257645 21
"123" "STANDING" -0.513350337310327 0.507429627099664 21
"124" "WALKING" -0.620974206332609 0.536595389149375 21
"125" "WALKING_DOWNSTAIRS" -0.565223140179832 0.518651377722622 21
"126" "WALKING_UPSTAIRS" -0.483034126978541 0.504534290925777 21
"127" "LAYING" -0.601334502473146 0.522242112081622 22
"128" "SITTING" -0.602495541242245 0.523687073975727 22
"129" "STANDING" -0.496237161343845 0.503454627609135 22
"130" "WALKING" -0.450989330117769 0.489303238638698 22
"131" "WALKING_DOWNSTAIRS" -0.378998989668771 0.485401660636124 22
"132" "WALKING_UPSTAIRS" -0.427349020152083 0.486890955554246 22
"133" "LAYING" -0.641025889720441 0.533877298358904 23
"134" "SITTING" -0.64434872178872 0.534727987151571 23
"135" "STANDING" -0.637993513839426 0.537787550055684 23
"136" "WALKING" -0.303635090755274 0.47192961869518 23
"137" "WALKING_DOWNSTAIRS" -0.149792068649325 0.47181276452652 23
"138" "WALKING_UPSTAIRS" -0.422715862861027 0.493104813079275 23
"139" "LAYING" -0.447991973316611 0.488731690589224 24
"140" "SITTING" -0.481708304947948 0.499710954071919 24
"141" "STANDING" -0.607342561639052 0.529388411846399 24
"142" "WALKING" -0.414916159172007 0.495084354507374 24
"143" "WALKING_DOWNSTAIRS" -0.5366887271898 0.511094335352536 24
"144" "WALKING_UPSTAIRS" -0.624379071420649 0.536547060239328 24
"145" "LAYING" -0.638892470766651 0.533744367368264 25
"146" "SITTING" -0.641162735769533 0.539150394378402 25
"147" "STANDING" -0.642708754229912 0.539617948012064 25
"148" "WALKING" -0.397472963441206 0.489590648449032 25
"149" "WALKING_DOWNSTAIRS" -0.327483043585337 0.467827624422199 25
"150" "WALKING_UPSTAIRS" -0.398855207805792 0.475326724532499 25
"151" "LAYING" -0.637540460912783 0.539008450326253 26
"152" "SITTING" -0.631043679747123 0.539449480340294 26
"153" "STANDING" -0.515472108756404 0.502834292856631 26
"154" "WALKING" -0.644430327451582 0.534252798820959 26
"155" "WALKING_DOWNSTAIRS" -0.523062782312025 0.512515789600808 26
"156" "WALKING_UPSTAIRS" -0.435460586411194 0.494302358126653 26
"157" "LAYING" -0.485568370818214 0.500418297109366 27
"158" "SITTING" -0.37537945894666 0.478357713939768 27
"159" "STANDING" -0.446685927528945 0.492160860507698 27
"160" "WALKING" -0.631465903666799 0.53869387909813 27
"161" "WALKING_DOWNSTAIRS" -0.645237935538098 0.543449191702375 27
"162" "WALKING_UPSTAIRS" -0.648417147651445 0.540692797032176 27
"163" "LAYING" -0.442182253568576 0.493967257295851 28
"164" "SITTING" -0.591855306196649 0.525566689746705 28
"165" "STANDING" -0.637501603595277 0.536994739714118 28
"166" "WALKING" -0.354419802017304 0.477695215834181 28
"167" "WALKING_DOWNSTAIRS" -0.472241957963291 0.498588852607363 28
"168" "WALKING_UPSTAIRS" -0.602309399682182 0.528673213431254 28
"169" "LAYING" -0.639621476975571 0.535076076365116 29
"170" "SITTING" -0.637651590812627 0.534143773496145 29
"171" "STANDING" -0.5692244687552 0.513592228937699 29
"172" "WALKING" -0.537826647480941 0.515901637815044 29
"173" "WALKING_DOWNSTAIRS" -0.313297619252031 0.498990197804673 29
"174" "WALKING_UPSTAIRS" -0.268275945178105 0.486279368409792 29
"175" "LAYING" -0.64645985031996 0.533356519439586 30
"176" "SITTING" -0.574356528467518 0.526061731722969 30
"177" "STANDING" -0.432310672238605 0.486218235245902 30
"178" "WALKING" -0.641951226756269 0.530839202495348 30
"179" "WALKING_DOWNSTAIRS" -0.503249184204413 0.497008855094416 30
"180" "WALKING_UPSTAIRS" -0.496925798284972 0.496424888917708 30
